champion_name,region,tier,patch,position,level,win_rate,pick_rate,ban_rate,counters1_name,counters1_win_rate,counters1_games,counters2_name,counters2_win_rate,counters2_games,counters3_name,counters3_win_rate,counters3_games,counters4_name,counters4_win_rate,counters4_games,counters5_name,counters5_win_rate,counters5_games,counters6_name,counters6_win_rate,counters6_games,counters7_name,counters7_win_rate,counters7_games,counters8_name,counters8_win_rate,counters8_games,counters9_name,counters9_win_rate,counters9_games,counters10_name,counters10_win_rate,counters10_games,equip1_name,equip1_pick_rate,equip2_name,equip2_pick_rate,equip3_name,equip3_pick_rate,equip4_name,equip4_pick_rate,equip5_name,equip5_pick_rate
LOL.top.drmundo,global,all,12.22,top,3,51.3,4.25,2.7,LOL.top.darius,54.52,25162,LOL.top.mordekaiser,50.39,22322,LOL.top.sett,50.48,21739,LOL.top.aatrox,47.75,21581,LOL.top.fiora,46.84,19608,LOL.top.nasus,46.53,17710,LOL.top.jax,53.59,17524,LOL.top.teemo,51.25,17266,LOL.top.garen,48.65,15629,LOL.top.gangplank,52.97,12580,"心之钢,日炎圣盾,荆棘之甲",17.88,"心之钢,日炎圣盾,振奋盔甲",16.97,"心之钢,日炎圣盾,狂徒铠甲",5.26,"心之钢,荆棘之甲,振奋盔甲",4.09,"心之钢,日炎圣盾,巨型九头蛇",3.37
LOL.top.drmundo,global,all,12.22,jungle,3,53.75,2.02,1.28,LOL.top.hecarim,53.77,11075,LOL.top.masteryi,51.17,10102,LOL.top.kayn,52.66,9986,LOL.top.graves,56.14,9594,LOL.top.leesin,56.88,9098,LOL.top.ekko,51.82,8703,LOL.top.viego,54.28,8439,LOL.top.warwick,53.96,7810,LOL.top.udyr,50.25,7657,LOL.top.mordekaiser,46.41,6581,"心之钢,日炎圣盾,振奋盔甲",17.36,"心之钢,日炎圣盾,荆棘之甲",17.33,"心之钢,日炎圣盾,狂徒铠甲",4.28,"辉耀美德,日炎圣盾,振奋盔甲",3.84,"心之钢,日炎圣盾,巨型九头蛇",3.46
LOL.top.drmundo,global,diamond,12.22,top,4,48.46,2.7,0.9,LOL.top.aatrox,39.81,422,LOL.top.ksante,53.32,377,LOL.top.fiora,47.62,357,LOL.top.darius,44.99,349,LOL.top.camille,43.94,330,LOL.top.jax,53.89,321,LOL.top.sett,53.85,273,LOL.top.gangplank,50.41,246,LOL.top.mordekaiser,51.95,231,LOL.top.irelia,42.79,222,"心之钢,日炎圣盾,振奋盔甲",20.67,"心之钢,日炎圣盾,荆棘之甲",19.75,"心之钢,日炎圣盾,巨型九头蛇",5.56,"心之钢,荆棘之甲,振奋盔甲",4.6,"心之钢,日炎圣盾,狂徒铠甲",4.1
LOL.top.drmundo,global,diamond,12.22,jungle,3,50.6,1.67,0.56,LOL.top.hecarim,50.84,299,LOL.top.graves,49.49,297,LOL.top.ekko,49.77,213,LOL.top.leesin,57.45,188,LOL.top.khazix,48.94,188,LOL.top.sylas,57.46,181,LOL.top.kayn,44.31,167,LOL.top.kindred,47.24,163,LOL.top.viego,52.5,160,LOL.top.udyr,47.13,157,"心之钢,日炎圣盾,振奋盔甲",19.61,"心之钢,日炎圣盾,荆棘之甲",18.06,"辉耀美德,日炎圣盾,振奋盔甲",5.66,"辉耀美德,日炎圣盾,荆棘之甲",5.18,"心之钢,日炎圣盾,巨型九头蛇",4.97
LOL.top.drmundo,global,platinum,12.22,top,3,49.49,3.26,1.71,LOL.top.aatrox,45.64,1766,LOL.top.fiora,45.72,1671,LOL.top.darius,52.31,1648,LOL.top.ksante,53.33,1485,LOL.top.gangplank,48.99,1439,LOL.top.sett,51.26,1385,LOL.top.jax,53.4,1369,LOL.top.mordekaiser,48.0,1223,LOL.top.camille,48.18,1100,LOL.top.sion,53.31,1056,"心之钢,日炎圣盾,振奋盔甲",20.33,"心之钢,日炎圣盾,荆棘之甲",18.21,"心之钢,日炎圣盾,狂徒铠甲",4.73,"心之钢,日炎圣盾,巨型九头蛇",4.62,"心之钢,荆棘之甲,振奋盔甲",3.92
LOL.top.drmundo,global,platinum,12.22,jungle,3,52.3,1.98,1.05,LOL.top.hecarim,50.23,1296,LOL.top.graves,55.76,1198,LOL.top.leesin,53.91,985,LOL.top.ekko,49.95,973,LOL.top.kayn,53.84,834,LOL.top.udyr,49.94,789,LOL.top.viego,53.32,784,LOL.top.masteryi,49.32,738,LOL.top.sylas,52.69,668,LOL.top.khazix,53.82,615,"心之钢,日炎圣盾,振奋盔甲",17.71,"心之钢,日炎圣盾,荆棘之甲",17.24,"辉耀美德,日炎圣盾,振奋盔甲",4.81,"心之钢,日炎圣盾,巨型九头蛇",4.11,"心之钢,日炎圣盾,狂徒铠甲",3.73
LOL.top.drmundo,global,gold,12.22,top,3,51.24,3.85,2.41,LOL.top.darius,53.78,4513,LOL.top.aatrox,45.66,4212,LOL.top.fiora,47.01,4108,LOL.top.mordekaiser,49.73,3537,LOL.top.sett,49.8,3518,LOL.top.jax,53.77,3277,LOL.top.gangplank,54.26,3155,LOL.top.nasus,47.04,3074,LOL.top.ksante,54.25,2732,LOL.top.sion,55.6,2529,"心之钢,日炎圣盾,荆棘之甲",18.65,"心之钢,日炎圣盾,振奋盔甲",18.58,"心之钢,日炎圣盾,狂徒铠甲",4.87,"心之钢,荆棘之甲,振奋盔甲",4.34,"心之钢,日炎圣盾,巨型九头蛇",3.88
LOL.top.drmundo,global,gold,12.22,jungle,3,53.63,2.11,1.32,LOL.top.hecarim,55.04,2562,LOL.top.graves,55.72,2405,LOL.top.leesin,57.69,2186,LOL.top.ekko,54.11,2066,LOL.top.kayn,52.09,2012,LOL.top.masteryi,51.55,1938,LOL.top.udyr,47.29,1753,LOL.top.viego,53.81,1747,LOL.top.mordekaiser,47.85,1534,LOL.top.sylas,54.41,1450,"心之钢,日炎圣盾,振奋盔甲",19.15,"心之钢,日炎圣盾,荆棘之甲",17.72,"辉耀美德,日炎圣盾,振奋盔甲",4.43,"心之钢,日炎圣盾,狂徒铠甲",4.07,"心之钢,日炎圣盾,巨型九头蛇",3.89
LOL.top.drmundo,global,silver,12.22,top,2,51.96,4.61,3.16,LOL.top.darius,55.06,6159,LOL.top.mordekaiser,49.61,5192,LOL.top.sett,50.12,5104,LOL.top.aatrox,48.37,4860,LOL.top.teemo,50.91,4738,LOL.top.nasus,47.15,4579,LOL.top.fiora,47.33,4576,LOL.top.jax,54.28,3981,LOL.top.garen,48.56,3902,LOL.top.illaoi,47.08,2944,"心之钢,日炎圣盾,荆棘之甲",18.95,"心之钢,日炎圣盾,振奋盔甲",17.75,"心之钢,日炎圣盾,狂徒铠甲",5.42,"心之钢,荆棘之甲,振奋盔甲",4.49,"心之钢,振奋盔甲,荆棘之甲",3.73
LOL.top.drmundo,global,silver,12.22,jungle,3,54.78,2.1,1.43,LOL.top.masteryi,49.62,2374,LOL.top.kayn,53.1,2354,LOL.top.hecarim,55.47,2257,LOL.top.graves,58.62,1979,LOL.top.leesin,58.04,1952,LOL.top.warwick,53.69,1950,LOL.top.viego,55.63,1909,LOL.top.ekko,53.0,1847,LOL.top.udyr,52.03,1772,LOL.top.shaco,55.57,1670,"心之钢,日炎圣盾,荆棘之甲",18.98,"心之钢,日炎圣盾,振奋盔甲",18.86,"心之钢,日炎圣盾,狂徒铠甲",4.64,"辉耀美德,日炎圣盾,振奋盔甲",3.92,"辉耀美德,日炎圣盾,荆棘之甲",3.48
